Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÍNDICE DE ACTIVIDAD DEL COMERCIO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIFRAS A PRECIOS CONSTANTES POR CLASE CIIU4.CL 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASE PROMEDIO AÑO 2014 = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Octubre 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mes y año;Índice general/Ref/P/R;Clase 4510;Clase 4530;Clase 4620;Clase 4630;Clase 4641;Clase 4649;Clase 4650;Clase 4661;Clase 4663;Clase 4669;Clase 4690;Clase 4711;Clase 4719;Clase 4720;Clase 4730;Clase 4740;Clase 4752;Clase 4759;Clase 4760;Clase 4771;Clase 4772;Clase 4773;;;;;;;;
;mar-18;120,49;144,39;100,28;78,45;123,65;145,84;133,57;120,67;128,50;116,76;89,34;126,64;117,56;115,67;106,89;91,44;200,28;111,27;110,05;126,44;145,08;105,32;98,71;;;;;;;;
;abr-18;114,00;141,79;103,28;82,14;113,14;142,72;127,98;110,02;119,94;120,35;87,87;124,60;104,51;111,58;101,25;89,53;182,92;107,22;101,16;95,02;141,96;99,75;93,78;;;;;;;;
;may-18;115,31;136,63;100,10;89,16;105,69;130,41;131,30;114,67;117,92;118,37;88,49;130,84;103,28;125,77;102,23;90,48;187,80;106,70;106,30;84,32;147,63;102,35;101,86;;;;;;;;
;jun-18;112,75;141,02;99,10;88,16;97,70;122,23;123,64;116,64;120,90;113,17;86,35;122,77;106,08;109,13;99,45;91,95;189,55;99,93;102,03;80,42;142,55;98,84;103,51;;;;;;;;
;jul-18;107,36;127,62;95,30;92,10;95,01;134,71;113,38;105,98;121,16;107,58;95,22;121,13;104,42;102,90;97,64;92,32;182,42;93,09;99,76;76,56;127,10;97,17;100,45;;;;;;;;
;ago-18;115,70;150,85;105,01;103,83;101,82;135,72;125,68;120,27;123,83;118,23;121,61;126,82;104,88;101,23;102,40;94,00;186,18;103,58;105,29;88,53;120,85;102,61;106,77;;;;;;;;
;sep-18;109,97;158,08;94,59;101,54;95,12;115,62;120,66;105,43;107,27;92,43;124,81;106,29;112,37;97,66;106,93;85,12;168,22;87,62;96,08;75,84;129,93;97,20;94,31;;;;;;;;
;oct-18;124,07;153,20;110,23;95,81;99,47;159,60;152,30;143,04;116,00;122,52;138,87;129,17;106,01;112,44;101,97;95,68;212,22;113,62;109,17;95,94;127,26;105,79;107,54;;;;;;;;
;nov-18;119,56;145,80;108,54;92,64;98,74;146,27;144,58;134,86;118,99;116,79;112,81;127,44;107,93;109,96;99,33;82,67;212,34;108,27;107,21;99,18;136,35;98,29;98,85;;;;;;;;
;dic-18;143,17;161,06;100,59;94,83;153,38;147,74;119,16;139,15;140,74;119,38;103,54;137,20;136,29;187,40;125,75;89,54;301,71;106,89;174,84;149,67;241,10;123,04;126,37;;;;;;;;
;ene-19;115,88;145,19;116,27;86,46;111,04;150,95;125,05;119,02;141,18;118,05;100,88;122,98;101,34;104,08;97,87;91,16;202,84;113,67;101,43;88,80;129,18;101,60;96,40;;;;;;;;
;feb-19;107,86;121,54;95,74;81,47;104,92;118,56;114,11;114,27;125,25;109,48;82,29;114,21;103,43;103,79;94,86;87,10;174,60;103,74;97,36;105,41;131,93;92,03;90,31;;;;;;;;
;mar-19;124,09;138,13;109,38;107,18;126,87;147,71;138,93;132,49;127,55;121,20;91,47;132,55;116,55;117,98;106,93;89,90;222,14;114,34;118,47;131,68;149,02;106,38;102,42;;;;;;;;
;abr-19;117,09;128,36;109,32;105,79;111,46;134,94;129,10;133,77;133,00;121,24;90,62;123,54;106,21;104,12;102,93;88,73;207,00;110,21;103,81;89,31;138,10;99,60;98,49;;;;;;;;
;may-19;121,80;132,54;109,71;108,56;97,54;125,10;142,02;135,24;141,03;121,44;92,62;134,81;106,03;130,67;107,35;89,60;219,50;108,39;116,44;82,50;157,50;107,03;107,07;;;;;;;;
;jun-19;115,04;130,37;102,77;105,17;99,19;113,53;123,59;131,59;140,19;109,04;88,64;129,43;109,60;106,87;101,51;86,00;206,31;95,01;98,82;82,82;142,09;99,72;100,10;;;;;;;;
;jul-19;114,65;128,29;107,56;120,07;93,51;137,47;140,21;118,53;149,66;115,58;100,98;135,99;103,37;101,13;103,75;89,51;213,52;104,88;102,20;78,90;130,51;102,94;103,87;;;;;;;;
;ago-19;119,37;144,74;108,14;124,80;102,78;135,16;129,09;122,63;148,54;119,86;127,64;140,76;109,94;102,96;109,24;90,82;221,84;108,01;110,17;92,64;131,85;103,46;108,04;;;;;;;;
;sep-19;115,95;151,87;97,96;134,72;99,78;118,24;129,93;127,22;131,05;101,20;130,56;122,42;111,10;93,19;110,63;83,52;193,86;93,06;95,64;81,17;129,16;100,46;95,79;;;;;;;;
;oct-19;112,48;107,93;102,98;116,22;93,08;117,49;133,63;131,97;133,01;120,74;134,85;129,56;104,28;93,51;106,88;85,31;222,99;110,55;98,27;86,39;102,95;96,32;100,29;;;;;;;;
;nov-19;114,13;106,51;103,11;111,01;103,42;115,95;142,87;139,84;122,82;121,95;114,68;134,05;97,60;97,12;105,69;82,87;229,89;111,24;98,78;95,71;118,77;94,00;98,60;;;;;;;;
;dic-19;144,92;142,74;110,56;107,20;163,85;150,76;128,67;153,88;133,39;123,51;105,30;148,94;127,92;180,99;133,49;93,25;351,37;114,68;164,19;150,71;232,65;114,44;133,79;;;;;;;;
;ene-20;118,39;121,65;117,85;115,27;108,73;153,96;140,96;135,25;136,32;117,65;96,43;128,26;100,45;104,86;105,70;94,87;229,37;118,83;95,75;92,13;132,89;101,12;103,84;;;;;;;;
;feb-20;112,44;110,17;103,90;111,54;109,20;131,90;122,42;115,52;142,04;109,87;81,50;119,55;110,00;108,78;104,78;95,59;201,62;111,21;92,39;112,17;144,34;95,75;96,94;;;;;;;;
;mar-20;113,04;76,57;100,16;111,11;122,39;99,55;146,02;136,20;135,95;117,12;99,06;128,25;125,16;82,22;106,66;82,16;245,04;113,83;81,18;91,80;81,91;110,89;94,65;;;;;;;;
;abr-20;87,72;41,69;81,17;109,14;93,55;49,48;112,05;112,72;134,97;96,91;83,34;113,73;97,52;60,60;96,25;44,86;205,98;102,51;65,33;55,58;39,76;81,78;73,65;;;;;;;;
;may-20;93,52;48,72;77,49;99,51;89,50;55,87;108,71;118,80;151,16;91,95;79,43;122,00;108,43;84,13;95,57;55,73;193,81;106,23;76,50;49,28;53,32;89,15;81,79;;;;;;;;
;jun-20;97,20;68,22;84,30;105,66;87,85;64,38;114,55;131,82;141,95;94,01;90,65;120,25;101,31;81,29;91,32;55,41;213,73;101,97;70,41;47,50;59,95;85,64;87,98;;;;;;;;
