AÑO,GLOSA,ÍNDICE,,,,,,,,
2018-11,VESTUARIO Y CALZADO,100.03,,,,,,,,
2018-11,RECREACIÓN Y CULTURA,99.33,,,,,,,,
2018-11,RESTAURANTES Y HOTELES,101.49,,,,,,,,
2018-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,100.77,,,,,,,,
2018-12,BEBIDAS ALCOHÓLICAS Y TABACO,100.4,,,,,,,,
2018-12,VESTUARIO Y CALZADO,98.54,,,,,,,,
2018-12,RECREACIÓN Y CULTURA,100.83,,,,,,,,
2018-12,RESTAURANTES Y HOTELES,101.47,,,,,,,,
2019-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,100.5,,,,,,,,
2019-01,BEBIDAS ALCOHÓLICAS Y TABACO,102.07,,,,,,,,
2019-01,VESTUARIO Y CALZADO,98.36,,,,,,,,
2019-01,RECREACIÓN Y CULTURA,100.07,,,,,,,,
2019-01,RESTAURANTES Y HOTELES,101.96,,,,,,,,
2019-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,100.25,,,,,,,,
2019-02,BEBIDAS ALCOHÓLICAS Y TABACO,102.27,,,,,,,,
2019-02,VESTUARIO Y CALZADO,100.78,,,,,,,,
2019-02,RECREACIÓN Y CULTURA,99.82,,,,,,,,
2019-02,RESTAURANTES Y HOTELES,101.86,,,,,,,,
2019-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,101.08,,,,,,,,
2019-03,BEBIDAS ALCOHÓLICAS Y TABACO,102.33,,,,,,,,
2019-03,VESTUARIO Y CALZADO,100.59,,,,,,,,
2019-03,RECREACIÓN Y CULTURA,99.83,,,,,,,,
2019-03,RESTAURANTES Y HOTELES,102.52,,,,,,,,
2019-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,101.56,,,,,,,,
2019-04,BEBIDAS ALCOHÓLICAS Y TABACO,102.1,,,,,,,,
2019-04,VESTUARIO Y CALZADO,100.04,,,,,,,,
2019-04,RECREACIÓN Y CULTURA,100.29,,,,,,,,
2019-04,RESTAURANTES Y HOTELES,102.35,,,,,,,,
2019-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,101.55,,,,,,,,
2019-05,BEBIDAS ALCOHÓLICAS Y TABACO,102.84,,,,,,,,
2019-05,VESTUARIO Y CALZADO,99.64,,,,,,,,
2019-05,RECREACIÓN Y CULTURA,102.86,,,,,,,,
2019-05,RESTAURANTES Y HOTELES,102.74,,,,,,,,
2019-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,102.03,,,,,,,,
2019-06,BEBIDAS ALCOHÓLICAS Y TABACO,102.75,,,,,,,,
2019-06,VESTUARIO Y CALZADO,99.14,,,,,,,,
2019-06,RECREACIÓN Y CULTURA,103.44,,,,,,,,
2019-06,RESTAURANTES Y HOTELES,102.83,,,,,,,,
2019-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,102.26,,,,,,,,
2019-07,BEBIDAS ALCOHÓLICAS Y TABACO,102.39,,,,,,,,
2019-07,VESTUARIO Y CALZADO,100.01,,,,,,,,
2019-07,RECREACIÓN Y CULTURA,103.47,,,,,,,,
2019-07,RESTAURANTES Y HOTELES,103.06,,,,,,,,
2019-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,102.95,,,,,,,,
2019-08,BEBIDAS ALCOHÓLICAS Y TABACO,102.52,,,,,,,,
2019-08,VESTUARIO Y CALZADO,100.66,,,,,,,,
2019-08,RECREACIÓN Y CULTURA,103.77,,,,,,,,
2019-08,RESTAURANTES Y HOTELES,103.32,,,,,,,,
2019-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,102.92,,,,,,,,
2019-09,BEBIDAS ALCOHÓLICAS Y TABACO,103.62,,,,,,,,
2019-09,VESTUARIO Y CALZADO,101.16,,,,,,,,
2019-09,RECREACIÓN Y CULTURA,103.66,,,,,,,,
2019-09,RESTAURANTES Y HOTELES,103.5,,,,,,,,
2019-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,103.77,,,,,,,,
2019-10,BEBIDAS ALCOHÓLICAS Y TABACO,104.7,,,,,,,,
2019-10,VESTUARIO Y CALZADO,101.72,,,,,,,,
2019-10,RECREACIÓN Y CULTURA,105.68,,,,,,,,
2019-10,RESTAURANTES Y HOTELES,104.14,,,,,,,,
2019-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,105.11,,,,,,,,
2019-11,BEBIDAS ALCOHÓLICAS Y TABACO,104.54,,,,,,,,
2019-11,VESTUARIO Y CALZADO,101.66,,,,,,,,
